Name,DateOfBirth,DateOfDeath,Type
"Vogel, Wladimir",1896,1984,personal
"Vogeler, Heinrich",1872,1942,personal
"Vordemberge-Gildewart, Friedrich",1899,1962,personal
"Wagner, Otto",1841,1918,personal
"Weill, Kurt",1900,1950,personal
"Weiss, Peter",1916,1982,personal
"Weissenborn, Hellmuth",1898,1982,personal
"Werefkin, Marianne von",1860,1938,personal
"Werfel, Franz",1890,1945,personal
"Werner, Theodor",1886,1969,personal
"Wessel, Wilhelm",1904,1971,personal
"Wieghardt, Paul",1897,1969,personal
"Wigand, Albert",1890,1978,personal
"Wilder, Thornton",1897,1975,personal
"Wilding, Ludwig",1927,,personal
"Winter, Fritz",1905,1976,personal
"Wittkugel, Klaus",1910,1985,personal
Wols,1913,1951,personal
"Wotruba, Fritz",1907,1975,personal
"Wright, Frank Lloyd",1867,1959,personal
"Zuckmayer, Carl",1896,1977,personal
"Zwart, Piet",1885,1977,personal
"Zweig, Arnold",1887,1968,personal
"Domela, César",1900,1992,personal
"Grieshaber, HAP",1909,1981,personal
"Majakovskij, Vladimir V.",1893,1930,personal
"Malevic, Kazimir S.",1878,1935,personal
"Rodcenko, Aleksandr M.",1891,1956,personal
"Roosevelt, Eleanor",1884,1962,personal
"Stravinsky, Igor",1882,1971,personal
"Wells, Herbert G.",1866,1946,personal
"Adler, Jankel",1895,1949,personal
"Allmers, Robert",1872,1951,personal
"Altenbourg, Gerhard",1926,1989,personal
"Anker, Alfons",1872,1958,personal
"Archipenko, Alexander",1887,1964,personal
"Baerwind, Rudi",1910,1982,personal
"Bampi, Richard",1896,1965,personal
"Baschant, Rudolf",1897,1955,personal
"Bauch, Kurt",1897,1975,personal
"Bekker vom Rath, Hanna",1893,1983,personal
"Berlewi, Henryk",1894,,personal
"Böhm, Gottfried",1920,,personal
"Bogler, Theodor",1897,1968,personal
"Bontjes van Beek, Jan",1899,1969,personal
"Botta, Mario",1943,,personal
"Biermann, Georg",1880,1949,personal
"Blacher, Boris",1903,1975,personal
"Burchartz, Max",1887,1961,personal
"Calder, Alexander",1898,1976,personal
"Camaro, Alexander",1901,1992,personal
"Capa, Robert",1913,1954,personal
"Cavael, Rolf",1898,1979,personal
"Conant, James Bryant",1893,1978,personal
"Brâncusi, Constantin",1876,1957,personal
"Braun-Feldweg, Wilhelm",1908,1998,personal
"Brecht, Arnold",1884,1977,personal
"Breuer, Leo",1893,1975,personal
"Breuer, Marcel",1902,1981,personal
"Brockmann, Gottfried",1903,1983,personal
Le Corbusier,1887,1965,personal
"Dexel, Walter",1890,1973,personal
"Dehmel, Ida",1870,1942,personal
"Dehmel, Richard",1863,1920,personal
"Dobers, Paul",1885,1959,personal
"Dorner, Alexander",1893,1957,personal
"Düttmann, Werner",1921,1983,personal
"Eesteren, Cornelis van",1897,1988,personal
"Endell, August",1871,1925,personal
"Eulenberg, Herbert",1876,1949,personal
"Forbat, Fred",1897,1972,personal
"Erdmann, Eduard",1896,1958,personal
"Feininger, Andreas",1906,1999,personal
Fidus,1868,1948,personal
"Finsterlin, Hermann",1887,1973,personal
"Ehmcke, Fritz Helmut",1878,1965,personal
"Eiermann, Egon",1904,1970,personal
"Fischer, Theodor",1862,1938,personal
"Fuller, Richard Buckminster",1895,1983,personal
"Gill, Eric",1882,1940,personal
"Gilles, Werner",1894,1961,personal
"Gleichmann, Otto",1887,1963,personal
"Gleizes, Albert",1881,1953,personal
"Goepfert, Hermann",1926,1982,personal
"Goeritz, Mathias",1915,1990,personal
"Götz, Karl Otto",1914,2017,personal
"Goldschmidt, Hermann Levin",1914,1998,personal
"Gomringer, Eugen",1925,,personal
"Gowa, Henry",1902,1990,personal
"Graeff, Werner",1901,1978,personal
"Grassi, Ernesto",1902,1991,personal
"Grochowiak, Thomas",1914,2012,personal
"Grohmann, Will",1887,1968,personal
"Grote, Ludwig",1893,1974,personal
"Häring, Hugo",1882,1958,personal
"Hahs, Erwin",1887,1970,personal
"Hajek-Halke, Heinz",1898,1983,personal
"Hanfstaengl, Eberhard",1886,1973,personal
"Hardt, Ernst",1876,1947,personal
"Hartung, Karl",1908,1967,personal
"Hartwig, Josef",1880,1955,personal
"Herking, Ursula",1912,1974,personal
